5cff13a5cff0   app                                            56.52%    40.39MiB / 1GiB     3.94%     10MB / 6.05MB     0B / 24.6kB      19
b2e296a96561   mysql_db                                       50.30%    410.8MiB / 512MiB   80.23%    2.43MB / 6.02MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.23%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   24.07%    60.39MiB / 2GiB     2.95%     3.67MB / 3.97MB   0B / 12.3kB      19
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     40.22MiB / 1GiB     3.93%     10.3MB / 6.27MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.92%     410.7MiB / 512MiB   80.22%    2.53MB / 6.28MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.18%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.03%     59.38MiB / 2GiB     2.90%     3.78MB / 4.04MB   0B / 12.3kB      19
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     40.22MiB / 1GiB     3.93%     10.3MB / 6.27MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.99%     410.7MiB / 512MiB   80.22%    2.53MB / 6.28MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.27%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     59.38MiB / 2GiB     2.90%     3.78MB / 4.04MB   0B / 16.4kB      19
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            0.00%     40.22MiB / 1GiB     3.93%     10.3MB / 6.27MB   0B / 24.6kB      19
b2e296a96561   mysql_db                                       0.92%     410.7MiB / 512MiB   80.22%    2.53MB / 6.28MB   459kB / 15.2MB   60
3ddf6b553d50   redis                                          0.22%     2.645MiB / 256MiB   1.03%     22kB / 726B       0B / 0B          5
d2b11f88f556   load-testing-from-scratch-load_test_server-1   0.00%     59.38MiB / 2GiB     2.90%     3.78MB / 4.04MB   0B / 16.4kB      19
CONTAINER ID   NAME                                           CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O        PIDS
5cff13a5cff0   app                                            38.89%    44.58MiB / 1GiB     4.35%     11.9MB / 7.19MB   0B / 24.6kB      19
